BA101, 3, Introduction to Accounting
   1, FA14, 8:00 - 8:50 MWF, CC310
   1, SP15, 8:00 - 8:50 MWF, CC310
   1, SU15, 8:00 - 9:15 MWF, CC310
BA102, 3, Accounting 2, BA101
   1, FA14, 9:00 - 9:50 MWF, CC320
   1, SP15, 9:00 - 9:50 MWF, CC320
   1, SU15, 9:00 - 10:15 MWF, CC320
CS160, 4, Introduction to Computer Science
   1, SP11, 8:00 - 8:50 MWF, CSB130
   2, SP11, 10:00 - 11:15 TTh, CSB130
   1, FA11, 8:00 - 8:50 MWF, CSB130
   2, FA11, 10:00 - 11:15 TTh, CSB130
   1, SP12, 8:00 - 8:50 MWF, CSB130
   2, SP12, 10:00 - 11:15 TTh, CSB130
   1, SU12, 10:00 - 11:15 MWF, CSB130
   1, FA12, 8:00 - 8:50 MWF, CSB130
   2, FA12, 10:00 - 11:15 TTh, CSB130
   1, SP13, 8:00 - 8:50 MWF, CSB130
   2, SP13, 10:00 - 11:15 TTh, CSB130
   1, SU13, 10:00 - 11:15 MWF, CSB130
   1, FA13, 8:00 - 8:50 MWF, CSB130
   2, FA13, 10:00 - 11:15 TTh, CSB130
   1, SP14, 8:00 - 8:50 MWF, CSB130
   2, SP14, 10:00 - 11:15 TTh, CSB130
   1, SU14, 10:00 - 11:15 MWF, CSB130
   1, FA14, 8:00 - 8:50 MWF, CSB130
   2, FA14, 10:00 - 11:15 TTh, CSB130
   1, SP15, 8:00 - 8:50 MWF, CSB130
   2, SP15, 10:00 - 11:15 TTh, CSB130
   1, SU15, 10:00 - 11:15 MWF, CSB130
   1, FA15, 8:00 - 8:50 MWF, CSB130
   2, FA15, 10:00 - 11:15 TTh, CSB130
CS161, 4, More Intro to Computer Science, CS160
   1, FA11, 12:00 - 12:50 MWF, CSB130
   2, FA11, 12:00 - 1:15 TTh, CSB130
   1, SP12, 12:00 - 12:50 MWF, CSB130
   2, SP12, 12:00 - 1:15 TTh, CSB130
   1, SU12, 12:00 - 1:15 MWF, CSB130
   1, FA12, 12:00 - 12:50 MWF, CSB130
   2, FA12, 12:00 - 1:15 TTh, CSB130
   1, SP13, 12:00 - 12:50 MWF, CSB130
   2, SP13, 12:00 - 1:15 TTh, CSB130
   1, SU13, 12:00 - 1:15 MWF, CSB130
   1, FA13, 12:00 - 12:50 MWF, CSB130
   2, FA13, 12:00 - 1:15 TTh, CSB130
   1, SP14, 12:00 - 12:50 MWF, CSB130
